H;E;Q;speed_mm_min
11.09;E3;0.35;4.454262168970332
11.09;E3;0.5;4.459872070946365
11.09;E3;0.6;4.463612005597054
12.0;E1;0.35;3.9632725932336763
12.0;E1;0.5;4.177166313741385
12.0;E1;0.6;4.4640158987127805
12.0;E2;0.35;4.695652173913044
12.0;E2;0.5;4.9964100912777
12.0;E2;0.6;5.252636249804761
12.0;E3;0.35;3.916425478675689
12.0;E3;0.5;4.777687083250051
12.0;E3;0.6;5.048410165274778
13.0;E1;0.35;5.16
13.0;E1;0.5;5.44300754066343
13.0;E1;0.6;5.578526315789474
13.0;E2;0.35;5.684541067681922
13.0;E2;0.5;5.687060187663135
13.0;E2;0.6;5.694932496785561
13.0;E3;0.35;3.401061151079136
13.0;E3;0.5;3.401061151079136
13.0;E3;0.6;3.401061151079136
14.0;E1;0.35;4.713792503682177
14.0;E1;0.5;4.834679916910584
14.0;E1;0.6;5.261702823068703
14.0;E2;0.35;4.444444444444445
14.0;E2;0.5;4.473988439306359
14.0;E2;0.6;4.526315789473684
14.0;E3;0.35;4.4880808616306656
14.0;E3;0.5;5.264237652928181
14.0;E3;0.6;5.74468085106383
15.0;E1;0.35;3.929471032745592
15.0;E1;0.5;4.2775646358899815
15.0;E1;0.6;4.515941247587804
15.0;E2;0.35;4.891566265060241
15.0;E2;0.5;5.349306431273645
15.0;E2;0.6;5.671596758206934
15.0;E3;0.35;3.997281560219098
15.0;E3;0.5;4.161500171096094
15.0;E3;0.6;4.708989678247042
15.0;E4;0.35;5.547765807475019
15.0;E4;0.5;5.547765807475019
15.0;E4;0.6;5.547765807475019
15.0;E5;0.35;5.943815005606436
15.0;E5;0.5;5.943815005606436
15.0;E5;0.6;5.943815005606436
16.0;E1;0.35;4.234901797673574
16.0;E1;0.5;4.466122469122539
16.0;E1;0.6;4.723165488928154
16.0;E2;0.35;4.751578320428826
16.0;E2;0.5;5.1716417910447765
16.0;E2;0.6;5.369873905868794
16.0;E3;0.35;4.683558059226698
16.0;E3;0.5;4.761637742912279
16.0;E3;0.6;4.774262334347493
16.0;E5;0.35;5.698562440819679
16.0;E5;0.5;5.698562440819679
16.0;E5;0.6;5.698562440819679
16.0;E6;0.35;4.839255406092902
16.0;E6;0.5;4.839255406092902
16.0;E6;0.6;4.839255406092902
16.0;E7;0.35;4.839255406092902
16.0;E7;0.5;4.839255406092902
16.0;E7;0.6;4.839255406092902
17.0;E1;0.35;3.7
17.0;E1;0.5;4.111111111111111
17.0;E1;0.6;4.281553398058253
17.0;E2;0.35;4.512763902515703
17.0;E2;0.5;4.770446161411063
17.0;E2;0.6;5.183114795528682
17.0;E3;0.35;4.194461538461539
17.0;E3;0.5;5.897456453055467
17.0;E3;0.6;6.007012215918066
18.0;E1;0.35;3.7181889740171017
18.0;E1;0.5;3.9797162759853517
18.0;E1;0.6;4.35273183877448
18.0;E2;0.35;4.337142857142857
18.0;E2;0.5;4.977049180327869
18.0;E2;0.6;5.268069861173309
18.0;E3;0.35;5.231899395272127
18.0;E3;0.5;5.376302160842908
18.0;E3;0.6;5.528301886792453
19.0;E1;0.35;3.794432800001008
19.0;E1;0.5;3.900818766356177
19.0;E1;0.6;4.317305914572904
19.0;E2;0.35;4.538268363817396
19.0;E2;0.5;5.628520572290992
19.0;E2;0.6;5.716124005322757
19.0;E3;0.35;5.500016971347915
19.0;E3;0.5;5.543290043290043
19.0;E3;0.6;5.571428571428571
20.0;E1;0.35;4.166178852917979
20.0;E1;0.5;4.567926261421057
20.0;E1;0.6;4.784170285026715
20.0;E2;0.35;4.65454545166472
20.0;E2;0.5;5.04828408286664
20.0;E2;0.6;5.318181818181818
20.0;E3;0.35;4.398640521064301
20.0;E3;0.5;4.764271615832813
20.0;E3;0.6;4.9821082512412165
20.0;E4;0.35;6.2991840956294425
20.0;E4;0.5;6.343929413950968
20.0;E4;0.6;6.359477096581752
20.0;E501;0.35;4.43311397112413
20.0;E501;0.5;4.988968809517951
20.0;E501;0.6;5.359538701780498
20.0;E6;0.35;3.882628818991288
20.0;E6;0.5;3.882628818991288
20.0;E6;0.6;3.882628818991288
21.0;E1;0.35;4.397864661654135
21.0;E1;0.5;4.646361992501853
21.0;E1;0.6;4.845274085478091
21.0;E2;0.35;4.250616473764464
21.0;E2;0.5;4.841550818950519
21.0;E2;0.6;5.092558069280085
21.0;E3;0.35;4.8743
21.0;E3;0.5;4.91526050420168
21.0;E3;0.6;5.0345017538688275
22.0;E1;0.35;3.757913491328271
22.0;E1;0.5;3.7954926262415536
22.0;E1;0.6;3.9493559113624284
22.0;E2;0.35;4.9298545108934055
22.0;E2;0.5;5.319761391645011
22.0;E2;0.6;5.510371423207307
22.0;E3;0.35;3.491500734068097
22.0;E3;0.5;3.6274108695652174
22.0;E3;0.6;3.699306106520988
23.0;E1;0.35;3.9652486761459644
23.0;E1;0.5;4.522956882111143
23.0;E1;0.6;4.874384421204471
23.0;E2;0.35;4.759945943965781
23.0;E2;0.5;5.084232765729733
23.0;E2;0.6;5.261205768399544
23.0;E3;0.35;3.2368113548232658
23.0;E3;0.5;3.2547693137752693
23.0;E3;0.6;3.272727272727273
23.0;E4;0.35;4.984898493343174
23.0;E4;0.5;4.984898493343174
23.0;E4;0.6;5.100949040278147
23.0;E5;0.35;4.703802759095481
23.0;E5;0.5;4.714599551962571
23.0;E5;0.6;4.721797413873965
24.0;E1;0.35;3.958838951310861
24.0;E1;0.5;4.260311118005928
24.0;E1;0.6;4.530375988476654
24.0;E2;0.35;4.514917127071824
24.0;E2;0.5;5.330578512396694
